iter	Passed	Remaining
606	15935	62823
607	15960	62790
608	15986	62763
609	16011	62733
610	16036	62701
611	16061	62670
612	16087	62643
613	16112	62612
614	16140	62593
615	16149	62500
616	16187	62519
617	16212	62487
618	16253	62519
619	16296	62558
620	16321	62527
621	16345	62492
622	16370	62461
623	16395	62428
624	16420	62398
625	16452	62394
626	16477	62364
627	16516	62382
628	16541	62354
629	16566	62322
630	16596	62308
631	16620	62274
632	16645	62244
633	16669	62209
634	16696	62185
635	16721	62153
636	16747	62125
637	16771	62091
638	16797	62064
639	16832	62069
640	16864	62063
641	16887	62025
642	16914	62001
643	16937	61963
644	16946	61874
645	16987	61902
646	17011	61868
647	17038	61842
648	17062	61807
649	17087	61779
650	17125	61794
651	17152	61768
652	17175	61732
653	17201	61704
654	17236	61710
655	17262	61682
656	17287	61649
657	17313	61624
658	17338	61593
659	17394	61672
660	17419	61639
661	17448	61622
662	17473	61590
663	17497	61557
664	17520	61518
665	17528	61428
666	17551	61391
667	17575	61354
668	17601	61328
669	17628	61305
670	17653	61272
671	17665	61197
672	17688	61162
673	17705	61102
674	17731	61075
675	17770	61093
676	17795	61063
677	17831	61070
678	17856	61037
679	17880	61002
680	17904	60969
681	17929	60940
682	17956	60914
683	17988	60907
684	18013	60876
685	18049	60884
686	18080	60872
687	18107	60848
688	18134	60826
689	18158	60792
690	18184	60763
691	18210	60735
692	18234	60701
693	18257	60663
694	18281	60631
695	18304	60594
696	18312	60508
697	18336	60473
698	18359	60437
699	18383	60403
700	18410	60378
701	18434	60345
702	18458	60312
703	18517	60392
704	18569	60450
705	18597	60429
706	18621	60395
707	18645	60360
708	18669	60326
709	18693	60294
710	18723	60279
711	18749	60252
712	18773	60217
713	18797	60182
714	18823	60155
715	18858	60156
716	18886	60137
717	18926	60153
718	18950	60119
719	18976	60093
720	19001	60061
721	19026	60031
722	19052	60002
723	19076	59970
724	19103	59945
725	19144	59966
726	19169	59933
727	19194	59902
728	19255	59984
729	19280	59953
730	19303	59916
731	19327	59883
732	19362	59884
733	19389	59859
734	19411	59820
735	19437	59791
736	19462	59760
737	19503	59779
738	19534	59765
739	19559	59736
740	19584	59705
741	19610	59676
742	19635	59645
743	19660	59616
744	19684	59581
745	19709	59551
746	19734	59519
747	19758	59485
748	19782	59453
749	19808	59424
750	19832	59390
751	19857	59360
752	19881	59327
753	19907	59298
754	19932	59268
755	19957	59239
756	19987	59222
757	20013	59194
758	20036	59160
759	20060	59126
760	20084	59091
761	20108	59058
762	20133	59028
763	20159	58999
764	20182	58965
765	20206	58932
766	20231	58900
767	20257	58873
768	20283	58844
769	20308	58815
770	20332	58781
771	20359	58756
772	20384	58726
773	20408	58694
774	20433	58662
775	20460	58640
776	20505	58667
777	20531	58637
778	20555	58606
779	20582	58579
780	20615	58573
781	20641	58544
782	20696	58601
783	20722	58572
784	20758	58571
785	20782	58540
786	20822	58551
787	20846	58519
788	20871	58488
789	20900	58467
790	20925	58438
791	20950	58408
792	20976	58379
793	21014	58386
794	21039	58354
795	21065	58326
796	21089	58293
797	21114	58263
798	21137	58228
799	21161	58195
800	21186	58162
801	21212	58136
802	21237	58106
803	21274	58107
804	21298	58074
805	21341	58092
806	21367	58065
807	21399	58052
808	21427	58032
809	21462	58026
810	21485	57991
811	21552	58075
812	21605	58120
813	21638	58109
814	21663	58078
815	21688	58048
816	21713	58016
817	21736	57982
818	21761	57950
819	21787	57921
820	21811	57888
821	21835	57856
822	21859	57821
823	21883	57789
824	21918	57785
825	21943	57755
826	21967	57721
827	21992	57691
828	22017	57660
829	22042	57628
830	22065	57592
831	22088	57557
832	22121	57547
833	22147	57519
834	22172	57488
835	22197	57458
836	22222	57427
837	22247	57398
838	22272	57365
839	22298	57337
840	22323	57308
841	22348	57277
842	22371	57242
843	22396	57212
844	22419	57176
845	22443	57143
846	22479	57141
847	22505	57112
848	22530	57083
849	22556	57054
850	22589	57045
851	22615	57016
852	22639	56984
853	22664	56954
854	22720	57001
855	22745	56970
856	22769	56938
857	22795	56909
858	22822	56882
859	22846	56851
860	22870	56818
861	22897	56791
862	22923	56763
863	22968	56783
864	22993	56751
865	23018	56723
866	23043	56690
867	23068	56660
868	23092	56629
869	23118	56599
870	23141	56565
871	23166	56533
872	23191	56503
873	23216	56474
874	23241	56443
875	23266	56413
876	23294	56390
877	23318	56358
878	23363	56376
879	23392	56355
880	23422	56335
881	23446	56304
882	23470	56270
883	23495	56241
884	23549	56280
885	23575	56250
886	23608	56240
887	23633	56208
888	23658	56178
889	23689	56162
890	23718	56141
891	23742	56108
892	23781	56112
893	23807	56082
894	23832	56052
895	23856	56021
896	23888	56007
897	23913	55975
898	23936	55939
899	23959	55906
900	23984	55874
901	24011	55849
902	24034	55815
903	24058	55782
904	24082	55749
905	24106	55716
906	24141	55708
907	24166	55678
908	24191	55647
909	24215	55615
910	24249	55606
911	24275	55577
912	24300	55547
913	24325	55518
914	24378	55549
915	24403	55519
916	24439	55515
917	24465	55486
918	24489	55453
919	24515	55426
920	24549	55415
921	24574	55385
922	24622	55407
923	24682	55456
924	24723	55460
925	24748	55430
926	24773	55399
927	24798	55368
928	24831	55357
929	24867	55350
930	24891	55317
931	24916	55287
932	24942	55259
933	24968	55230
934	24993	55198
935	25017	55167
936	25042	55135
937	25068	55107
938	25090	55071
939	25131	55076
940	25156	55045
941	25182	55016
942	25208	54987
943	25232	54955
944	25259	54929
945	25284	54899
946	25319	54890
947	25344	54858
948	25368	54826
949	25393	54796
950	25418	54766
951	25444	54738
952	25468	54704
953	25495	54679
954	25518	54645
955	25543	54612
956	25568	54583
957	25593	54553
958	25617	54521
959	25643	54492
960	25666	54458
961	25699	54443
962	25732	54431
963	25757	54401
964	25782	54371
965	25808	54341
966	25842	54330
967	25867	54301
968	25892	54269
969	25917	54238
970	25950	54225
971	25975	54196
972	26000	54166
973	26025	54135
974	26060	54125
975	26086	54096
976	26110	54065
977	26135	54035
978	26171	54027
979	26196	53996
980	26220	53964
981	26245	53934
982	26270	53904
983	26295	53874
984	26319	53841
985	26345	53813
986	26369	53780
987	26393	53749
988	26422	53725
989	26447	53696
990	26485	53692
991	26510	53661
992	26548	53659
993	26573	53628
994	26597	53596
995	26623	53566
996	26647	53535
997	26671	53502
998	26696	53472
999	26722	53444
1000	26746	53413
1001	26770	53381
1002	26802	53364
1003	26829	53337
1004	26853	53305
1005	26881	53281
1006	26905	53249
1007	26931	53221
1008	26955	53189
1009	26980	53159
1010	27021	53161
1011	27047	53133
1012	27072	53102
1013	27099	53075
1014	27123	53044
1015	27148	53013
1016	27177	52992
1017	27208	52973
1018	27234	52946
1019	27260	52916
1020	27283	52883
1021	27317	52871
1022	27341	52839
1023	27366	52809
1024	27391	52778
1025	27416	52748
1026	27439	52715
1027	27464	52684
1028	27487	52650
1029	27511	52618
1030	27535	52587
1031	27561	52559
1032	27586	52529
1033	27613	52502
1034	27670	52533
1035	27731	52571
1036	27774	52575
1037	27807	52560
1038	27830	52527
1039	27870	52524
1040	27893	52491
1041	27919	52463
1042	27944	52433
1043	27979	52421
1044	28014	52410
1045	28040	52381
1046	28094	52405
1047	28119	52374
1048	28143	52343
1049	28169	52315
1050	28205	52305
1051	28230	52274
1052	28255	52245
1053	28281	52215
1054	28307	52187
1055	28333	52158
1056	28357	52127
1057	28382	52096
1058	28406	52065
1059	28431	52035
1060	28456	52004
1061	28481	51975
1062	28518	51965
1063	28542	51935
1064	28582	51931
1065	28611	51909
1066	28637	51879
1067	28663	51852
1068	28694	51831
1069	28719	51803
1070	28743	51771
1071	28767	51739
1072	28792	51708
1073	28816	51676
1074	28843	51649
1075	28868	51619
1076	28893	51590
1077	28919	51561
1078	28943	51529
1079	28968	51499
1080	28992	51467
1081	29018	51439
1082	29043	51408
1083	29068	51378
1084	29098	51357
1085	29130	51341
1086	29159	51317
1087	29187	51292
1088	29210	51258
1089	29235	51228
1090	29258	51195
1091	29282	51164
1092	29307	51134
1093	29332	51103
1094	29356	51072
1095	29381	51042
1096	29418	51033
1097	29443	51004
1098	29482	50996
1099	29506	50965
1100	29530	50934
1101	29556	50905
1102	29580	50874
1103	29607	50847
1104	29636	50825
1105	29660	50792
1106	29682	50758
1107	29707	50728
1108	29731	50695
1109	29756	50666
1110	29780	50635
1111	29805	50605
1112	29843	50596
1113	29867	50565
1114	29891	50533
1115	29917	50505
1116	29942	50475
1117	29965	50443
1118	29988	50410
1119	30013	50379
1120	30039	50352
1121	30081	50350
1122	30105	50318
1123	30131	50291
1124	30155	50259
1125	30181	50231
1126	30220	50223
1127	30246	50195
1128	30271	50165
1129	30296	50137
1130	30322	50108
1131	30348	50079
1132	30371	50047
1133	30396	50017
1134	30420	49986
1135	30446	49957
1136	30469	49925
1137	30495	49897
1138	30520	49866
1139	30543	49834
1140	30569	49806
1141	30594	49776
1142	30619	49746
1143	30644	49716
1144	30669	49688
1145	30708	49680
1146	30745	49670
1147	30800	49688
1148	30846	49692
1149	30870	49661
1150	30898	49635
1151	30921	49604
1152	30946	49573
1153	30969	49541
1154	30995	49512
1155	31018	49479
1156	31042	49448
1157	31065	49414
1158	31090	49384
1159	31115	49356
1160	31141	49328
1161	31169	49303
1162	31193	49270
1163	31216	49238
1164	31240	49207
1165	31275	49192
1166	31300	49162
1167	31325	49133
1168	31349	49102
1169	31373	49071
1170	31403	49048
1171	31426	49016
1172	31476	49026
1173	31502	48997
1174	31528	48969
1175	31552	48937
1176	31577	48908
1177	31610	48891
1178	31636	48862
1179	31661	48833
1180	31686	48803
1181	31716	48781
1182	31741	48752
1183	31767	48725
1184	31792	48694
1185	31817	48665
1186	31842	48635
1187	31867	48605
1188	31893	48578
1189	31917	48547
1190	31943	48517
1191	31967	48487
1192	31992	48458
1193	32033	48452
1194	32058	48422
1195	32082	48391
1196	32108	48363
1197	32134	48336
1198	32177	48333
1199	32202	48304
1200	32227	48273
1201	32266	48265
1202	32292	48237
1203	32331	48228
1204	32357	48200
1205	32382	48170
1206	32407	48140
1207	32431	48110
1208	32461	48088
1209	32505	48086
1210	32530	48056
1211	32551	48021
1212	32587	48008
1213	32616	47984
1214	32641	47954
1215	32679	47943
1216	32704	47914
1217	32728	47883
1218	32753	47854
1219	32779	47826
1220	32804	47796
1221	32828	47765
1222	32853	47735
1223	32877	47704
1224	32904	47677
1225	32946	47672
1226	32971	47643
1227	32995	47611
1228	33019	47581
1229	33044	47551
1230	33069	47522
1231	33102	47504
1232	33129	47476
1233	33154	47448
1234	33177	47415
1235	33203	47387
1236	33230	47360
1237	33259	47336
1238	33285	47308
1239	33323	47298
1240	33354	47276
1241	33378	47246
1242	33403	47216
1243	33427	47185
1244	33454	47158
1245	33495	47151
1246	33520	47122
1247	33559	47111
1248	33585	47084
1249	33610	47054
1250	33634	47023
1251	33657	46991
1252	33681	46960
1253	33706	46931
1254	33732	46902
1255	33756	46872
1256	33797	46864
1257	33845	46866
1258	33896	46874
1259	33935	46862
1260	33960	46834
1261	33984	46803
1262	34010	46773
1263	34034	46743
1264	34063	46719
1265	34087	46687
1266	34111	46657
1267	34138	46630
1268	34174	46616
1269	34203	46592
1270	34227	46561
1271	34252	46531
1272	34277	46501
1273	34302	46472
1274	34325	46440
1275	34349	46409
1276	34374	46379
1277	34398	46349
1278	34422	46318
1279	34448	46289
1280	34473	46260
1281	34519	46259
1282	34544	46230
1283	34581	46216
1284	34607	46187
1285	34646	46177
1286	34673	46150
1287	34697	46119
1288	34721	46089
1289	34747	46060
1290	34771	46030
1291	34801	46006
1292	34825	45976
1293	34864	45964
1294	34889	45935
1295	34926	45922
1296	34952	45893
1297	34977	45863
1298	35001	45833
1299	35025	45803
1300	35050	45773
1301	35076	45745
1302	35104	45719
1303	35130	45691
1304	35153	45659
1305	35194	45649
1306	35219	45621
1307	35243	45590
1308	35269	45562
1309	35294	45532
1310	35318	45502
1311	35343	45472
1312	35368	45443
1313	35396	45417
1314	35422	45388
1315	35444	45356
1316	35468	45325
1317	35494	45296
1318	35518	45266
1319	35555	45252
1320	35579	45221
1321	35604	45192
1322	35629	45163
1323	35684	45172
1324	35710	45142
1325	35735	45114
1326	35761	45086
1327	35786	45056
1328	35824	45043
1329	35866	45034
1330	35892	45006
1331	35931	44995
1332	35956	44965
1333	35992	44950
1334	36017	44920
1335	36075	44932
1336	36100	44902
1337	36133	44883
1338	36158	44853
1339	36182	44823
1340	36208	44794
1341	36234	44766
1342	36259	44736
1343	36284	44708
1344	36310	44679
1345	36334	44649
1346	36359	44619
1347	36382	44587
1348	36407	44557
1349	36450	44550
1350	36475	44520
1351	36498	44489
1352	36523	44460
1353	36548	44430
1354	36574	44402
1355	36598	44371
1356	36623	44342
1357	36647	44312
1358	36674	44285
1359	36698	44254
1360	36724	44226
1361	36763	44213
1362	36789	44185
1363	36815	44156
1364	36841	44129
1365	36866	44099
1366	36892	44071
1367	36930	44057
1368	36996	44077
1369	37048	44079
1370	37074	44051
1371	37103	44026
1372	37142	44013
1373	37167	43983
1374	37191	43954
1375	37215	43922
1376	37239	43892
1377	37264	43862
1378	37289	43833
1379	37313	43802
1380	37338	43772
1381	37388	43773
1382	37413	43743
1383	37437	43713
1384	37462	43684
1385	37504	43674
1386	37554	43674
1387	37585	43650
1388	37609	43620
1389	37645	43603
1390	37670	43573
1391	37693	43542
1392	37719	43514
1393	37773	43517
1394	37799	43489
1395	37823	43459
1396	37848	43429
1397	37871	43397
1398	37895	43366
1399	37943	43363
1400	37966	43332
1401	37989	43300
1402	38014	43271
1403	38052	43256
1404	38076	43225
1405	38117	43214
1406	38141	43183
1407	38166	43154
1408	38190	43123
1409	38214	43093
1410	38239	43063
1411	38263	43032
1412	38286	43001
1413	38309	42969
1414	38335	42941
1415	38368	42920
1416	38394	42892
1417	38418	42861
1418	38442	42831
1419	38477	42813
1420	38501	42782
1421	38525	42752
1422	38550	42722
1423	38588	42707
1424	38612	42677
1425	38653	42665
1426	38678	42636
1427	38713	42617
1428	38736	42586
1429	38759	42554
1430	38785	42525
